City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
13,Iquitos,PE,78.84,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
14,Faanui,PF,80.65,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
17,Kavieng,PG,80.08,moderate rain,-2.5744,150.7967,Nusa Island Retreat
21,Buraydah,SA,75.65,clear sky,26.326,43.975,Mövenpick Qassim
28,Arraial Do Cabo,BR,76.86,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
30,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
35,Rikitea,PF,75.25,scattered clouds,-23.1203,-134.9692,People ThankYou
41,Puerto Ayora,EC,84.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
49,Trairi,BR,76.66,overcast clouds,-3.2778,-39.2689,janelas do mar
52,Atuona,PF,78.87,light rain,-9.8,-139.0333,Villa Enata
53,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
54,Caravelas,BR,77.88,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
59,Road Town,VG,82.44,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
62,Acari,PE,75.7,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
63,Talara,PE,84.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
65,Sulangan,PH,82.51,overcast clouds,11.1373,123.7228,Maia's Beach Resort
66,San Patricio,US,82.49,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
67,La Libertad,EC,82.06,clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
69,Touros,BR,78.78,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
71,Quatre Cocos,MU,76.08,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
72,Jimeta,NG,86.9,overcast clouds,9.2833,12.4667,Yola International Hotel
74,Karratha,AU,82.08,clear sky,-20.7377,116.8463,ibis Styles Karratha
78,Fairhope,US,78.03,clear sky,30.523,-87.9033,Hampton Inn Fairhope-Mobile Bay
79,Alofi,NU,84.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
82,Prainha,BR,76.17,broken clouds,-1.8,-53.48,Casa Rocha
87,Conde,BR,80.06,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
91,Tamiahua,MX,81.41,broken clouds,21.2667,-97.45,Mission Of The Sun Hotel
93,Pak Phanang,TH,79.41,overcast clouds,8.3511,100.202,Green Park Inn Hotel
95,Konch,IN,79.52,clear sky,25.9833,79.15,AZAAD GARDEN
97,Hobyo,SO,81.23,clear sky,5.3505,48.5268,Iftin hotel hobyo
98,Kimbe,PG,75.38,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
100,Cayenne,GF,78.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
101,Loandjili,CG,76.69,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
102,Alamos,MX,86.86,broken clouds,27.0167,-108.9333,Luz del Sol
108,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
110,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
116,Puerto Baquerizo Moreno,EC,81.59,broken clouds,-0.9,-89.6,Hotel los Algarrobos
119,Sur,OM,82.63,clear sky,22.5667,59.5289,Sur Plaza Hotel
127,Krabi,TH,82.06,few clouds,8.0726,98.9105,Tharapark View Hotel
133,Hilo,US,77.25,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
134,Noumea,NC,82.99,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
137,Avarua,CK,84.25,overcast clouds,-21.2078,-159.775,Paradise Inn
138,Inhambane,MZ,76.17,clear sky,-23.865,35.3833,Oceano
142,Kavaratti,IN,82.22,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
144,Butaritari,KI,82.26,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
146,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
147,Dawei,MM,77.79,clear sky,14.0833,98.2,Hotel Dawei
149,Inirida,CO,83.61,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
154,Uribia,CO,89.13,overcast clouds,11.7139,-72.266,Hotel Uribia
