City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,33.03,66,100,20.71,overcast clouds
1,Punta Arenas,CL,-53.15,-70.9167,44.71,70,0,16.11,clear sky
2,Awjilah,LY,29.1081,21.2869,70.34,24,100,11.54,overcast clouds
3,Busselton,AU,-33.65,115.3333,69.62,82,99,7.72,overcast clouds
4,Castro,BR,-24.7911,-50.0119,55.13,98,100,6.22,overcast clouds
5,Hermanus,ZA,-34.4187,19.2345,62.8,77,32,14.23,scattered clouds
6,Ribeira Grande,PT,38.5167,-28.7,59.29,72,100,21.65,overcast clouds
7,Namibe,AO,-15.1961,12.1522,71.33,81,78,2.62,broken clouds
8,Genhe,CN,50.7833,121.5167,11.23,98,66,2.55,broken clouds
9,Bagdarin,RU,54.4333,113.6,18.28,92,100,4.65,overcast clouds
10,Qaanaaq,GL,77.484,-69.3632,14.74,95,100,3.62,overcast clouds
11,Ossora,RU,59.2353,163.0719,18.88,91,100,5.7,light snow
12,Tasiilaq,GL,65.6145,-37.6368,32.16,91,100,4.38,overcast clouds
13,Iquitos,PE,-3.7481,-73.2472,78.84,83,75,3.44,broken clouds
14,Faanui,PF,-16.4833,-151.75,80.65,75,100,1.36,moderate rain
15,Muncar,ID,-8.4333,114.3333,74.82,90,99,3.06,moderate rain
16,Chokurdakh,RU,70.6333,147.9167,-19.97,99,28,3.06,scattered clouds
17,Kavieng,PG,-2.5744,150.7967,80.08,81,100,9.64,moderate rain
18,East London,ZA,-33.0153,27.9116,65.14,90,100,7.23,light rain
19,Mariinsk,RU,56.2139,87.7472,34.11,80,100,14.16,overcast clouds
20,Feijo,BR,-8.1642,-70.3536,64.58,97,100,5.66,overcast clouds
21,Buraydah,SA,26.326,43.975,75.65,14,0,9.84,clear sky
22,Mar Del Plata,AR,-38.0023,-57.5575,66.22,77,0,20.0,clear sky
23,Dunedin,NZ,-45.8742,170.5036,55.8,67,8,8.01,clear sky
24,Grindavik,IS,63.8424,-22.4338,41.47,93,75,9.22,broken clouds
25,Upernavik,GL,72.7868,-56.1549,10.06,95,100,8.21,overcast clouds
26,Cape Town,ZA,-33.9258,18.4232,65.12,71,0,23.02,clear sky
27,Albany,US,42.6001,-73.9662,44.17,65,93,7.0,overcast clouds
28,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,88,75,12.66,broken clouds
29,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,94,75,18.41,broken clouds
30,Georgetown,MY,5.4112,100.3354,78.73,93,20,3.44,few clouds
31,Ostrovnoy,RU,68.0531,39.5131,10.69,95,87,10.16,overcast clouds
32,New Norfolk,AU,-42.7826,147.0587,54.9,73,100,1.99,overcast clouds
33,Mataura,NZ,-46.1927,168.8643,53.98,70,20,4.68,few clouds
34,Nikolskoye,RU,59.7035,30.7861,28.8,95,80,2.89,broken clouds
